"address_detail_pid","address","postcode","mb_code16","lga_code","ste_name16","geom"
GAVIC423464090,"20 Jellicoe Avenue","3793","20660570000","27450",Victoria,POINT (145.41811584 -37.87526035)
GAVIC421665565,"23 Vika Avenue","3793","20660330000","27450",Victoria,POINT (145.4233767 -37.87700722)
GAVIC421337835,"95 Main Road","3793","20660790000","27450",Victoria,POINT (145.40409829 -37.87258352)
GAVIC414561703,"21 Hunter Street","3793","20661900000","27450",Victoria,POINT (145.39777585 -37.87577787)
GAVIC420169122,"4 Loch Avenue","3793","20661730000","27450",Victoria,POINT (145.42272785 -37.88343287)
GAVIC421099063,"4 Wiseman Road","3793","20661710000","27450",Victoria,POINT (145.42398985 -37.85247387)
GAVIC420477351,"17 Montrose Road","3765","20657911000","27450",Victoria,POINT (145.34071687 -37.80856786)
GAVIC411852019,"4 View Crescent","3765","20657952000","27450",Victoria,POINT (145.34941976 -37.81171935)
GAVIC419567730,"28 Heathfield Grove","3765","20655370000","27450",Victoria,POINT (145.35516287 -37.81129386)
GAVIC421392890,"61 Swansea Road","3765","20655820000","27450",Victoria,POINT (145.34923887 -37.80693086)
GAVIC421420433,"14 Lower View Road","3765","20655550000","27450",Victoria,POINT (145.34272387 -37.82448486)
GAVIC421369988,"3 Park Road","3765","20655880000","27450",Victoria,POINT (145.35991687 -37.79818486)
GAVIC420324949,"8 Gibbs Road","3765","20654570000","27450",Victoria,POINT (145.35641487 -37.81411486)
GAVIC420189453,"50 Kerr Crescent","3765","20657951000","27450",Victoria,POINT (145.35221787 -37.81189286)
GAVIC421674853,"44 Belvedere Drive","3765","20655100000","27450",Victoria,POINT (145.35537087 -37.80958486)
GAVIC421674912,"34 Inverness Road","3765","20657531000","27450",Victoria,POINT (145.37402512 -37.80745716)
GAVIC421326697,"72 Croydondale Drive","3138","20631912110","27450",Victoria,POINT (145.31982588 -37.78307286)
GAVIC419572252,"7 Kirsten Court","3138","20651290000","27450",Victoria,POINT (145.31320488 -37.77162286)
GAVIC419577363,"1/11 Wordsworth Street","3138","20652440000","27450",Victoria,POINT (145.32151988 -37.78776886)
GAVIC423621954,"66 Blackburn Road","3138","20654450000","27450",Victoria,POINT (145.33376729 -37.779483)
GAVIC425022572,"312 Manchester Road","3138","20656962000","27450",Victoria,POINT (145.31634154 -37.76052193)
GAVIC421996612,"60 Blue Ridge Drive","3138","20657630000","27450",Victoria,POINT (145.34066627 -37.78052845)
GAVIC420768841,"10 Monomeith Street","3138","20651240000","27450",Victoria,POINT (145.30699288 -37.77466986)
GAVIC420170080,"9 Delville Street","3138","20652390000","27450",Victoria,POINT (145.31391088 -37.78254686)
GAVIC421689372,"9 Greenbank Drive","3138","20653750000","27450",Victoria,POINT (145.32085488 -37.76118786)
GAVIC420783052,"34 Bellara Drive","3138","20654410000","27450",Victoria,POINT (145.30841688 -37.77296886)
GAVIC420185467,"5 Alice Street","3787","20648440000","27450",Victoria,POINT (145.34544786 -37.87035886)
GAVIC419896622,"46 Olinda-Monbulk Road","3788","20649710000","27450",Victoria,POINT (145.37226786 -37.85433087)
GAVIC420495423,"42 Kallista-Emerald Road","3791","20649040000","27450",Victoria,POINT (145.38651985 -37.88879087)
GAVIC412283568,"64 The Crescent ","3789","20649690000","27450",Victoria,POINT (145.36511722 -37.87687302)
GAVIC421993772,"71 Ridge Road","3791","20648870000","27450",Victoria,POINT (145.41515158 -37.90940364)
GAVIC421383746,"14 Dunstan Crescent","3785","20651060000","27450",Victoria,POINT (145.32839186 -37.88859286)
GAVIC423480088,"2 Panteg Road","3787","20649650000","27450",Victoria,POINT (145.34784992 -37.87095986)
GAVIC421120195,"11 Kallista-Emerald Road","3791","20648340000","27450",Victoria,POINT (145.37838686 -37.88629087)
GAVIC420467809,"4 Yarrabee Road","3767","20649500000","27450",Victoria,POINT (145.35363687 -37.83907486)
GAVIC423283082,"259 Mount Dandenong Tourist Road","3786","20648140000","27450",Victoria,POINT (145.34360389 -37.87303682)
GAVIC421691186,"28 Mathew Place","3796","20653300000","27450",Victoria,POINT (145.38112967 -37.78498853)
GAVIC421865508,"7 Rangeview Road","3796","20652580000","27450",Victoria,POINT (145.38357487 -37.78199587)
GAVIC421418198,"123 Commercial Road","3796","20652170000","27450",Victoria,POINT (145.36279487 -37.79232086)
GAVIC421698682,"77 Falkingham Road","3796","20654550000","27450",Victoria,POINT (145.36985187 -37.79211287)
GAVIC411935274,"64 Bailey Road","3796","20654890000","27450",Victoria,POINT (145.38915787 -37.78375387)
GAVIC419867303,"14 Olinda Road","3796","20652190000","27450",Victoria,POINT (145.37119187 -37.78899487)
GAVIC411939528,"1 Mons Road","3796","20657480000","27450",Victoria,POINT (145.36391253 -37.79006882)
GAVIC421078546,"244 Swansea Road","3796","20657503000","27450",Victoria,POINT (145.36271767 -37.78581235)
GAVIC421374223,"103 Fernhill Road","3796","20651890000","27450",Victoria,POINT (145.39500687 -37.77743487)
GAVIC419576685,"6 Forge Road","3796","20652590000","27450",Victoria,POINT (145.38664587 -37.78024887)
GAVIC413673391,"3 Brunning Street","3158","20650290000","27450",Victoria,POINT (145.33599059 -37.89958207)
GAVIC421121096,"81 Hume Street","3158","20648670000","27450",Victoria,POINT (145.32349186 -37.91410786)
GAVIC420188454,"9 Kookaburra Dell","3158","20648010000","27450",Victoria,POINT (145.33274686 -37.90070386)
GAVIC420816691,"11 Francis Street","3160","20648490000","27450",Victoria,POINT (145.34857186 -37.90611786)
GAVIC423462428,"1 Hillside Grove","3158","20650630000","27450",Victoria,POINT (145.33820644 -37.90830367)
GAVIC413677894,"18 Brookside Street","3158","20650750000","27450",Victoria,POINT (145.32802886 -37.91671386)
GAVIC420647972,"1 Glenfern Avenue","3158","20650680000","27450",Victoria,POINT (145.33316686 -37.91774186)
GAVIC420798073,"3 Austral Avenue","3158","20648200000","27450",Victoria,POINT (145.33960086 -37.90244086)
GAVIC421128937,"45 Leonard Street","3158","20650760000","27450",Victoria,POINT (145.32420086 -37.90795386)
GAVIC420185502,"8 Bates Avenue","3156","20650260000","27450",Victoria,POINT (145.32009187 -37.89456686)
GAVIC413541725,"392 Clegg Road","3139","20661290000","27450",Victoria,POINT (145.42821174 -37.78209122)
GAVIC421080257,"357 Warburton Highway","3139","20660720000","27450",Victoria,POINT (145.42770286 -37.77927187)
GAVIC421951496,"2 Greenglades Court","3139","20660520000","27450",Victoria,POINT (145.42599582 -37.78163983)
GAVIC423708912,"5 Mary Road","3139","20661310000","27450",Victoria,POINT (145.43171427 -37.78614833)
GAVIC420157972,"42 Tainton Street","3139","20660540000","27450",Victoria,POINT (145.43086086 -37.77387087)
GAVIC421080301,"10 Capri Close","3139","20661220000","27450",Victoria,POINT (145.45383686 -37.77135387)
GAVIC413541637,"551 Warburton Highway","3139","20661152000","27450",Victoria,POINT (145.46305591 -37.77551133)
GAVIC420483656,"5 Ducol Court","3139","20661200000","27450",Victoria,POINT (145.45505486 -37.77884087)
GAVIC420783049,"18 Bell Street","3139","20660430000","27450",Victoria,POINT (145.45972266 -37.78038817)
GAVIC421656063,"600 Warburton Highway","3139","20660610000","27450",Victoria,POINT (145.45702585 -37.77906487)
GAVIC421114381,"3 Pheasant Parade","3799","20631986930","27450",Victoria,POINT (145.70988281 -37.75530189)
GAVIC412574961,"8 Lithgow Avenue","3799","20631901110","27450",Victoria,POINT (145.70485835 -37.75550035)
GAVIC419596836,"48 Symes Road","3139","20647802000","27450",Victoria,POINT (145.52709584 -37.77628488)
GAVIC421102948,"26 Carroll Avenue","3799","20647060000","27450",Victoria,POINT (145.66183582 -37.74878989)
